player_id,full_name,position,legend_score,source_tier,is_manually_curated,curation_tier,justification
00-0033556,Tarik Cohen,RB,53.7,2,False,,Algorithmic scoring
00-0029068,Derrick Coleman,RB,16.66,2,False,,Algorithmic scoring
00-0032058,Tevin Coleman,RB,54.52,2,False,,Algorithmic scoring
00-0032426,Alex Collins,RB,37.02,2,False,,Algorithmic scoring
00-0026072,Jed Collins,RB,25.54,2,False,,Algorithmic scoring
00-0003344,Greg Comella,RB,22.06,2,False,,Algorithmic scoring
00-0033553,James Conner,RB,63.11,2,False,,Algorithmic scoring
00-0027739,John Conner,RB,16.82,2,False,,Algorithmic scoring
00-0033893,Dalvin Cook,RB,64.03,2,False,,Algorithmic scoring
00-0020391,Jameel Cook,RB,17.07,2,False,,Algorithmic scoring
00-0037248,James Cook,RB,44.68,2,False,,Algorithmic scoring
00-0026033,Mike Cox,RB,18.87,2,False,,Algorithmic scoring
00-0003663,Zack Crockett,RB,48.06,2,False,,Algorithmic scoring
00-0030656,Isaiah Crowell,RB,43.02,2,False,,Algorithmic scoring
00-0029795,Benny Cunningham,RB,32.94,2,False,,Algorithmic scoring
00-0036425,DeeJay Dallas,RB,23.85,2,False,,Algorithmic scoring
00-0025633,Kenneth Darby,RB,16.88,2,False,,Algorithmic scoring
00-0030860,Orleans Darkwa,RB,29.89,2,False,,Algorithmic scoring
00-0021252,Najeh Davenport,RB,45.04,2,False,,Algorithmic scoring
00-0022434,Carey Davis,RB,14.05,2,False,,Algorithmic scoring
00-0030280,Knile Davis,RB,37.15,2,False,,Algorithmic scoring
00-0032063,Mike Davis,RB,43.34,2,False,,Algorithmic scoring
00-0004052,Stephen Davis,RB,58.84,2,False,,Algorithmic scoring
00-0004054,Terrell Davis,RB,25.07,2,False,,Algorithmic scoring
00-0019643,Ron Dayne,RB,45.76,2,False,,Algorithmic scoring
00-0027925,James Develin,RB,26.05,2,False,,Algorithmic scoring
00-0028581,Patrick DiMarco,RB,21.49,2,False,,Algorithmic scoring
00-0036265,AJ Dillon,RB,47.22,2,False,,Algorithmic scoring
00-0004304,Corey Dillon,RB,62.02,2,False,,Algorithmic scoring
00-0027772,Anthony Dixon,RB,31.47,2,False,,Algorithmic scoring
00-0032411,Kenneth Dixon,RB,26.09,2,False,,Algorithmic scoring
00-0036158,J.K. Dobbins,RB,36.81,2,False,,Algorithmic scoring
00-0036139,Rico Dowdle,RB,18.86,2,False,,Algorithmic scoring
00-0033118,Kenyan Drake,RB,53.68,2,False,,Algorithmic scoring
00-0028202,Shaun Draughn,RB,24.88,2,False,,Algorithmic scoring
00-0019610,Reuben Droughns,RB,46.33,2,False,,Algorithmic scoring
00-0021376,T.J. Duckett,RB,51.37,2,False,,Algorithmic scoring
00-0029004,Lance Dunbar,RB,21.3,2,False,,Algorithmic scoring
00-0004640,Warrick Dunn,RB,58.33,2,False,,Algorithmic scoring
00-0027786,Jonathan Dwyer,RB,24.1,2,False,,Algorithmic scoring
00-0034681,Chase Edmonds,RB,40.72,2,False,,Algorithmic scoring
00-0034184,Gus Edwards,RB,46.96,2,False,,Algorithmic scoring
00-0004768,Marc Edwards,RB,34.95,2,False,,Algorithmic scoring
00-0036360,Clyde Edwards-Helaire,RB,40.23,2,False,,Algorithmic scoring
00-0033699,Austin Ekeler,RB,51.99,2,False,,Algorithmic scoring
00-0030287,Andre Ellington,RB,36.14,2,False,,Algorithmic scoring
00-0033045,Ezekiel Elliott,RB,82.71,2,False,,Algorithmic scoring
00-0004916,Curtis Enis,RB,35.08,2,False,,Algorithmic scoring
00-0032404,Tyler Ervin,RB,15.44,2,False,,Algorithmic scoring
00-0036973,Travis Etienne,RB,43.35,2,False,,Algorithmic scoring
00-0020507,Heath Evans,RB,35.08,2,False,,Algorithmic scoring
00-0022093,Justin Fargas,RB,44.25,2,False,,Algorithmic scoring
00-0005091,Kevin Faulk,RB,52.84,2,False,,Algorithmic scoring
00-0005092,Marshall Faulk,RB,60.02,2,False,,Algorithmic scoring
00-0005110,Jermaine Fazande,RB,29.6,2,False,,Algorithmic scoring
00-0026286,Jerome Felton,RB,26.99,2,False,,Algorithmic scoring
00-0027093,Tony Fiammetta,RB,13.59,2,False,,Algorithmic scoring
00-0005229,Jim Finn,RB,20.5,2,False,,Algorithmic scoring
00-0020964,Tony Fisher,RB,31.71,2,False,,Algorithmic scoring
00-0022825,Troy Fleming,RB,14.65,2,False,,Algorithmic scoring
00-0005324,Terrell Fletcher,RB,28.72,2,False,,Algorithmic scoring
00-0005361,William Floyd,RB,26.39,2,False,,Algorithmic scoring
00-0037267,Jerome Ford,RB,29.12,2,False,,Algorithmic scoring
00-0033925,D'Onta Foreman,RB,47.69,2,False,,Algorithmic scoring
00-0026373,Justin Forsett,RB,50.68,2,False,,Algorithmic scoring
00-0026184,Matt Forte,RB,71.53,2,False,,Algorithmic scoring
00-0026796,Arian Foster,RB,55.05,2,False,,Algorithmic scoring
00-0021164,DeShaun Foster,RB,48.42,2,False,,Algorithmic scoring
00-0033856,Leonard Fournette,RB,57.94,2,False,,Algorithmic scoring
00-0031285,Devonta Freeman,RB,60.11,2,False,,Algorithmic scoring
00-0034838,Royce Freeman,RB,40.59,2,False,,Algorithmic scoring
00-0005620,Chris Fuamatu-Ma'afala,RB,36.88,2,False,,Algorithmic scoring
00-0023074,Samkon Gado,RB,33.46,2,False,,Algorithmic scoring
00-0036919,Kenneth Gainwell,RB,34.42,2,False,,Algorithmic scoring
00-0033950,Wayne Gallman,RB,33.67,2,False,,Algorithmic scoring
00-0024460,Quinton Ganther,RB,17.65,2,False,,Algorithmic scoring
00-0005779,Charlie Garner,RB,52.99,2,False,,Algorithmic scoring
00-0005816,Olandis Gary,RB,37.79,2,False,,Algorithmic scoring
00-0005822,Sam Gash,RB,19.86,2,False,,Algorithmic scoring
00-0035311,Myles Gaskin,RB,31.35,2,False,,Algorithmic scoring
00-0005883,Eddie George,RB,62.18,2,False,,Algorithmic scoring
00-0027888,Toby Gerhart,RB,41.72,2,False,,Algorithmic scoring
00-0036328,Antonio Gibson,RB,52.06,2,False,,Algorithmic scoring
00-0030433,Mike Gillislee,RB,31.27,2,False,,Algorithmic scoring
00-0019831,Nick Goings,RB,41.26,2,False,,Algorithmic scoring
00-0027080,Mike Goodson,RB,29.05,2,False,,Algorithmic scoring
00-0021209,Lamar Gordon,RB,29.68,2,False,,Algorithmic scoring
00-0032144,Melvin Gordon,RB,67.62,2,False,,Algorithmic scoring
00-0023500,Frank Gore,RB,67.6,2,False,,Algorithmic scoring
00-0021755,Earnest Graham,RB,42.81,2,False,,Algorithmic scoring
00-0022984,Ryan Grant,RB,50.89,2,False,,Algorithmic scoring
00-0031731,Corey Grant,RB,21.05,2,False,,Algorithmic scoring
00-0006305,Ahman Green,RB,62.09,2,False,,Algorithmic scoring
00-0028034,Alex Green,RB,19.31,2,False,,Algorithmic scoring
00-0019576,Mike Green,RB,18.57,2,False,,Algorithmic scoring
00-0021150,William Green,RB,35.2,2,False,,Algorithmic scoring
00-0025860,BenJarvus Green-Ellis,RB,43.56,2,False,,Algorithmic scoring
00-0026899,Shonn Greene,RB,48.43,2,False,,Algorithmic scoring
00-0006456,Howard Griffith,RB,20.79,2,False,,Algorithmic scoring
00-0022011,Justin Griffith,RB,27.91,2,False,,Algorithmic scoring
00-0029510,Jonathan Grimes,RB,25.2,2,False,,Algorithmic scoring
00-0006482,Clif Groce,RB,15.85,2,False,,Algorithmic scoring
00-0032241,Todd Gurley,RB,79.57,2,False,,Algorithmic scoring
00-0024489,Ahmard Hall,RB,23.14,2,False,,Algorithmic scoring
00-0038120,Breece Hall,RB,40.58,2,False,,Algorithmic scoring
00-0025578,Korey Hall,RB,15.56,2,False,,Algorithmic scoring
00-0032918,C.J. Ham,RB,28.6,2,False,,Algorithmic scoring
00-0019516,Troy Hambrick,RB,35.44,2,False,,Algorithmic scoring
00-0027666,Montario Hardesty,RB,21.18,2,False,,Algorithmic scoring
00-0021750,Arlen Harris,RB,24.3,2,False,,Algorithmic scoring
00-0035657,Damien Harris,RB,38.19,2,False,,Algorithmic scoring
00-0028409,DuJuan Harris,RB,22.98,2,False,,Algorithmic scoring
00-0036893,Najee Harris,RB,60.85,2,False,,Algorithmic scoring
